Time,Prey,Predator
0.000000000000000000e+00,3.700000000000000000e+01,5.100000000000000000e+01
2.002002002002002123e-01,1.524321515130638716e+01,5.471984681824084618e+01
4.004004004004004247e-01,6.649433291371934729e+00,4.725431543221161945e+01
6.006006006006006093e-01,3.474617995756366540e+00,3.761950826739411013e+01
8.008008008008008494e-01,2.184005255185381245e+00,2.903103212831710067e+01
1.001001001001001089e+00,1.603568035712223283e+00,2.210829588196924433e+01
1.201201201201201219e+00,1.331073593152557022e+00,1.673370915153019922e+01
1.401401401401401570e+00,1.214259074160611851e+00,1.263019646448936228e+01
1.601601601601601699e+00,1.190093534109360141e+00,9.523354185234822467e+00
1.801801801801801828e+00,1.231364090725256766e+00,7.181824278479581380e+00
2.002002002002002179e+00,1.327107339016526666e+00,5.421625734293091803e+00
2.202202202202202308e+00,1.474795692281511306e+00,4.100320169580975005e+00
2.402402402402402437e+00,1.677035526038630708e+00,3.109169656449362940e+00
2.602602602602602566e+00,1.940177244295563153e+00,2.365832964023927509e+00
2.802802802802803139e+00,2.273825601310140776e+00,1.808270793890423889e+00
3.003003003003003268e+00,2.690831440093757632e+00,1.389896428523979877e+00
3.203203203203203397e+00,3.207585839279322393e+00,1.075810944568817318e+00
3.403403403403403527e+00,3.844543035224670113e+00,8.399216727040964559e-01
3.603603603603603656e+00,4.626949022412484958e+00,6.627568695568637480e-01
3.803803803803804229e+00,5.585779630299579246e+00,5.298200106986828972e-01
4.004004004004004358e+00,6.758907784091155335e+00,4.303590871660888384e-01
4.204204204204204487e+00,8.192529870383454593e+00,3.564553872443275706e-01
4.404404404404404616e+00,9.942886737778435347e+00,3.023618730789843778e-01
4.604604604604604745e+00,1.207831381680692218e+01,2.640447546789827515e-01
4.804804804804804874e+00,1.468164056024416553e+01,2.389071993316991271e-01
5.005005005005005003e+00,1.785291493656565365e+01,2.257092095966093392e-01
5.205205205205205132e+00,2.171231225744399396e+01,2.247612255367181233e-01
5.405405405405406150e+00,2.640279390584575481e+01,2.386084879142213178e-01
5.605605605605606279e+00,3.209131435243910602e+01,2.737749538756188983e-01
5.805805805805806408e+00,3.896527458126291776e+01,3.451084619750767746e-01
6.006006006006006537e+00,4.721471093365550331e+01,4.872251379322906639e-01
6.206206206206206666e+00,5.697073967525121674e+01,7.873668754223079880e-01
6.406406406406406795e+00,6.810115771549442343e+01,1.489165118301392976e+00
6.606606606606606924e+00,7.951400774236607560e+01,3.344435451209874177e+00
6.806806806806807053e+00,8.690316570453627776e+01,8.728893082011410343e+00
7.007007007007007182e+00,7.876301837621620905e+01,2.308356205009548034e+01
7.207207207207207311e+00,4.849341526030069360e+01,4.523889580607226435e+01
7.407407407407407440e+00,2.096850536518034147e+01,5.531786922572448617e+01
7.607607607607608458e+00,8.750370430927404186e+00,5.045181479114495460e+01
7.807807807807808587e+00,4.272988027539346589e+00,4.097836691772307205e+01
8.008008008008008716e+00,2.523065121966189928e+00,3.187646144671078119e+01
8.208208208208208845e+00,1.760457593371730578e+00,2.436110663429844791e+01
8.408408408408408974e+00,1.404342909580909460e+00,1.846940678263610991e+01
8.608608608608609103e+00,1.242709494859202124e+00,1.395048911356363242e+01
8.808808808808809232e+00,1.190211161174830723e+00,1.052099285071943768e+01
9.009009009009009361e+00,1.210253268005191840e+00,7.932877724817981147e+00
9.209209209209209490e+00,1.287406865517597199e+00,5.985860638434438386e+00
9.409409409409409619e+00,1.416697236006781546e+00,4.523726563441959669e+00
9.609609609609609748e+00,1.599146231813498575e+00,3.426736609645866238e+00
9.809809809809809877e+00,1.839873352969273235e+00,2.604000863636088514e+00
1.001001001001001001e+01,2.147355836884676350e+00,1.986934136401074635e+00
1.021021021021021014e+01,2.533279263575207718e+00,1.523980477448646065e+00
1.041041041041041026e+01,3.012737200724251885e+00,1.176488514566755184e+00
1.061061061061061039e+01,3.604677981438108247e+00,9.155409954447761844e-01
1.081081081081081230e+01,4.332561403660526445e+00,7.195434651310719243e-01
1.101101101101101243e+01,5.225221329874619514e+00,5.724040510465731035e-01
1.121121121121121256e+01,6.317949117942690762e+00,4.621686817691667004e-01
1.141141141141141269e+01,7.653824725296002107e+00,3.800064137592458757e-01
1.161161161161161282e+01,9.285329604733068010e+00,3.194662656148923863e-01
1.181181181181181294e+01,1.127627729146024116e+01,2.759509231507475402e-01
1.201201201201201307e+01,1.370408916495016172e+01,2.463767545534968073e-01
