Time,Prey,Predator
0.000000000000000000e+00,2.300000000000000000e+01,7.500000000000000000e+01
2.002002002002002123e-01,6.567160438109970855e+00,6.746458612468475735e+01
4.004004004004004247e-01,2.399230057069219768e+00,5.309047635450694003e+01
6.006006006006006093e-01,1.155805842791515659e+00,4.031507025799196953e+01
8.008008008008008494e-01,6.997345989736943883e-01,3.026053345644813675e+01
1.001001001001001089e+00,5.053509919631152814e-01,2.261014662143324472e+01
1.201201201201201219e+00,4.170167548679082348e-01,1.685986841538930747e+01
1.401401401401401570e+00,3.802850410235407153e-01,1.256072254924766263e+01
1.601601601601601699e+00,3.736491450586608143e-01,9.354937437016046076e+00
1.801801801801801828e+00,3.881148075757750449e-01,6.967800100918816852e+00
2.002002002002002179e+00,4.201706683997814551e-01,5.191623029569613301e+00
2.202202202202202308e+00,4.690926670618657535e-01,3.870566323262510711e+00
2.402402402402402437e+00,5.358371683566724997e-01,2.888165828483415076e+00
2.602602602602602566e+00,6.225866738379843834e-01,2.157588987582467865e+00
2.802802802802803139e+00,7.325966896223714553e-01,1.614190478072443424e+00
3.003003003003003268e+00,8.702021001192754568e-01,1.209888990768786643e+00
3.203203203203203397e+00,1.040923944007500213e+00,9.089462707533773056e-01
3.403403403403403527e+00,1.251653286829876199e+00,6.848105652790491549e-01
3.603603603603603656e+00,1.510905958657549508e+00,5.177617127926967822e-01
3.803803803803804229e+00,1.829151310547711073e+00,3.931570257609229291e-01
4.004004004004004358e+00,2.219224333239881997e+00,3.001261935809365622e-01
4.204204204204204487e+00,2.696835442199752464e+00,2.306011119968296441e-01
4.404404404404404616e+00,3.281196976268327514e+00,1.785952525632336918e-01
4.604604604604604745e+00,3.995790520554173497e+00,1.396688491030915746e-01
4.804804804804804874e+00,4.869304916642768433e+00,1.105324989655665779e-01
5.005005005005005003e+00,5.936781507461121876e+00,8.875400624382367987e-02
5.205205205205205132e+00,7.241011034160407256e+00,7.254261138715328849e-02
5.405405405405406150e+00,8.834235710110178275e+00,6.059184618904100289e-02
5.605605605605606279e+00,1.078022037589163418e+01,5.196805859844819825e-02
5.805805805805806408e+00,1.315676772715645448e+01,4.603686285695587216e-02
6.006006006006006537e+00,1.605876275372549600e+01,4.242567669548326370e-02
6.206206206206206666e+00,1.960183621182138225e+01,4.102954158527795381e-02
6.406406406406406795e+00,2.392672395623756287e+01,4.208560741311439396e-02
6.606606606606606924e+00,2.920433376628611910e+01,4.638495036851671138e-02
6.806806806806807053e+00,3.564131300619930443e+01,5.580752698751290097e-02
7.007007007007007182e+00,4.348521170781790346e+01,7.471787493676036729e-02
7.207207207207207311e+00,5.302599175112236907e+01,1.139384490031854907e-01
7.407407407407407440e+00,6.458197146554881840e+01,2.034829029824399560e-01
7.607607607607608458e+00,7.842186918369984028e+01,4.396320558142936541e-01
7.807807807807808587e+00,9.439777865393845957e+01,1.189105688651460380e+00
8.008008008008008716e+00,1.101115605005133347e+02,4.106073002296338537e+00
8.208208208208208845e+00,1.124230027382228201e+02,1.673366256152561959e+01
8.408408408408408974e+00,7.110513276987069275e+01,5.223343266960989695e+01
8.608608608608609103e+00,2.274823352954331313e+01,7.502732218783968676e+01
8.808808808808809232e+00,6.503649986906238745e+00,6.734930301769112759e+01
9.009009009009009361e+00,2.381818754527007087e+00,5.297187391882444985e+01
9.209209209209209490e+00,1.149900862655385714e+00,4.021868863434258401e+01
9.409409409409409619e+00,6.973446026134356712e-01,3.018644883745289320e+01
9.609609609609609748e+00,5.042769808077772753e-01,2.255423758211945540e+01
9.809809809809809877e+00,4.165353587190037676e-01,1.681799063331210675e+01
1.001001001001001001e+01,3.801223192576868581e-01,1.252946532661699486e+01
1.021021021021021014e+01,3.736917986199397856e-01,9.331650192455077431e+00
1.041041041041041026e+01,3.883158451398531219e-01,6.950468108662219535e+00
1.061061061061061039e+01,4.205145983175310187e-01,5.178730397024795096e+00
1.081081081081081230e+01,4.695815367403652352e-01,3.860978438518714029e+00
1.101101101101101243e+01,5.364847186427628145e-01,2.881035986887987121e+00
1.121121121121121256e+01,6.234160707287148551e-01,2.152286466533078979e+00
1.141141141141141269e+01,7.336400499344909454e-01,1.610245985317487305e+00
1.161161161161161282e+01,8.715010225594769233e-01,1.206953626309392291e+00
1.181181181181181294e+01,1.042530750769158132e+00,9.067607542331894699e-01
1.201201201201201307e+01,1.253632895322677188e+00,6.831823056691084251e-01
1.221221221221221320e+01,1.513338346168889403e+00,5.165476944940040616e-01
1.241241241241241333e+01,1.832134638258550385e+00,3.922510689974699760e-01
1.261261261261261346e+01,2.222878831604178096e+00,2.994494822562885350e-01
1.281281281281281359e+01,2.701308198130837113e+00,2.300951550357476505e-01
1.301301301301301372e+01,3.286667804379404867e+00,1.782166585942522030e-01
1.321321321321321385e+01,4.002479147306553742e+00,1.393854531945213637e-01
1.341341341341341398e+01,4.877479757462523935e+00,1.103204921254424820e-01
1.361361361361361411e+01,5.946770372455628895e+00,8.859581250014357534e-02
1.381381381381381424e+01,7.253214185972453265e+00,7.242533924278990454e-02
1.401401401401401436e+01,8.849141755341962678e+00,6.050616460755996878e-02
1.421421421421421449e+01,1.079842560415942820e+01,5.190742898284195217e-02
