Time,Prey,Predator
0.000000000000000000e+00,3.700000000000000000e+01,7.900000000000000000e+01
2.002002002002002123e-01,8.831966358616686108e+00,7.858528904998574660e+01
4.004004004004004247e-01,2.610439308552057636e+00,6.271227313092617806e+01
6.006006006006006093e-01,1.061861453634684649e+00,4.763042641406977395e+01
8.008008008008008494e-01,5.663508604764920795e-01,3.568662832904373516e+01
1.001001001001001089e+00,3.724505215575192874e-01,2.661083374401958324e+01
1.201201201201201219e+00,2.868594609078428670e-01,1.980401136229299652e+01
1.401401401401401570e+00,2.486497001563147402e-01,1.472525311748822041e+01
1.601601601601601699e+00,2.353681797142138932e-01,1.094490090067672838e+01
1.801801801801801828e+00,2.378776771725370220e-01,8.134462399875056704e+00
2.002002002002002179e+00,2.524062126135183659e-01,6.046480200300307750e+00
2.202202202202202308e+00,2.776830851614923712e-01,4.495794474087233539e+00
2.402402402402402437e+00,3.138050482526016371e-01,3.344337724844222759e+00
2.602602602602602566e+00,3.617671495459418574e-01,2.489357181070531055e+00
2.802802802802803139e+00,4.232800095024265574e-01,1.854471357877760740e+00
3.003003003003003268e+00,5.007270444505794726e-01,1.382944138553119373e+00
3.203203203203203397e+00,5.972014648467456333e-01,1.032652790788431973e+00
3.403403403403403527e+00,7.165982909279111635e-01,7.723346035896427875e-01
3.603603603603603656e+00,8.637525327122500540e-01,5.787924181379613398e-01
3.803803803803804229e+00,1.044622811114983563e+00,4.348165899802182710e-01
4.004004004004004358e+00,1.266524456026753009e+00,3.276409781458861636e-01
4.204204204204204487e+00,1.538419615456806833e+00,2.477963783016804700e-01
4.404404404404404616e+00,1.871274974097962618e+00,1.882594959117268318e-01
4.604604604604604745e+00,2.278500804646609090e+00,1.438214958492787243e-01
4.804804804804804874e+00,2.776488561988682768e+00,1.106196572777316395e-01
5.005005005005005003e+00,3.385268290202656516e+00,8.579014341516785769e-02
5.205205205205205132e+00,4.129311946284343726e+00,6.721073633114092727e-02
5.405405405405406150e+00,5.038514551333264535e+00,5.331045128993822796e-02
