Time,Prey,Predator
0.000000000000000000e+00,4.000000000000000000e+01,7.800000000000000000e+01
2.002002002002002123e-01,9.510303146640904259e+00,7.951166527951144758e+01
4.004004004004004247e-01,2.752051934445929771e+00,6.377440072002516303e+01
6.006006006006006093e-01,1.097983157780536123e+00,4.849243314360052182e+01
8.008008008008008494e-01,5.768116537142871092e-01,3.634373317970251804e+01
1.001001001001001089e+00,3.750166460874030938e-01,2.710319739689625962e+01
1.201201201201201219e+00,2.863797504531481741e-01,2.017068582607003080e+01
1.401401401401401570e+00,2.466624024308501084e-01,1.499760008780104492e+01
1.601601601601601699e+00,2.323890431050652239e-01,1.114691000194459214e+01
1.801801801801801828e+00,2.340473954347618291e-01,8.284175573537286397e+00
2.002002002002002179e+00,2.476997914794580591e-01,6.157370438341123631e+00
2.202202202202202308e+00,2.719833398822658066e-01,4.577888917581686812e+00
2.402402402402402437e+00,3.069279660789467901e-01,3.405085637732667259e+00
2.602602602602602566e+00,3.534676638303969609e-01,2.534286988293961596e+00
2.802802802802803139e+00,4.132483820665731056e-01,1.887683278350451577e+00
3.003003003003003268e+00,4.885795698504473705e-01,1.407477802462098637e+00
3.203203203203203397e+00,5.824667564480073834e-01,1.050760840299749699e+00
3.403403403403403527e+00,6.986993200201905285e-01,7.856859728250993324e-01
3.603603603603603656e+00,8.419840676303720350e-01,5.886232778409948851e-01
3.803803803803804229e+00,1.018123502726369978e+00,4.420423224385731098e-01
4.004004004004004358e+00,1.234242545915230194e+00,3.329392074348621611e-01
4.204204204204204487e+00,1.499070942726916211e+00,2.516685278651429880e-01
4.404404404404404616e+00,1.823291627106235158e+00,1.910764006450093588e-01
4.604604604604604745e+00,2.219968379973287664e+00,1.458571845878981199e-01
4.804804804804804874e+00,2.705069538745415336e+00,1.120763661711962761e-01
5.005005005005005003e+00,3.298108468559179496e+00,8.681680597898754070e-02
5.205205205205205132e+00,4.022926237960248841e+00,6.791662752258532942e-02
5.405405405405406150e+00,4.908647600659364230e+00,5.377520843822050645e-02
5.605605605605606279e+00,5.990848194375494984e+00,4.320988559102381665e-02
