Time,Prey,Predator
0.000000000000000000e+00,8.300000000000000000e+01,6.000000000000000000e+01
2.002002002002002123e-01,2.040763970835521590e+01,8.994931865274084259e+01
4.004004004004004247e-01,4.515958580222412699e+00,7.779156827669009999e+01
6.006006006006006093e-01,1.394141718645647954e+00,5.988714061263744526e+01
8.008008008008008494e-01,5.998852951652531296e-01,4.496837279003238308e+01
1.001001001001001089e+00,3.358070066512078844e-01,3.352745723213236317e+01
1.201201201201201219e+00,2.294555569854309085e-01,2.493314597889781936e+01
1.401401401401401570e+00,1.820126265444568792e-01,1.852165330389814457e+01
1.601601601601601699e+00,1.613494840340821690e-01,1.375214081446183911e+01
1.801801801801801828e+00,1.553498548770003429e-01,1.020887622933642191e+01
2.002002002002002179e+00,1.590367206215948515e-01,7.578437909823252383e+00
2.202202202202202308e+00,1.703959855585736871e-01,5.626406806365258362e+00
2.402402402402402437e+00,1.888404012002849741e-01,4.178109313598524999e+00
2.602602602602602566e+00,2.145936846582093827e-01,3.103646744932400114e+00
2.802802802802803139e+00,2.484364672614670644e-01,2.306526915651775145e+00
3.003003003003003268e+00,2.916121371310690935e-01,1.715122282428816147e+00
3.203203203203203397e+00,3.458132358717639354e-01,1.276286276536985786e+00
3.403403403403403527e+00,4.132156621158344367e-01,9.505966292385842342e-01
3.603603603603603656e+00,4.965474369503955487e-01,7.088172147009510482e-01
3.803803803803804229e+00,5.991877055655120410e-01,5.292691314972618466e-01
4.004004004004004358e+00,7.252963670311646238e-01,3.958787632367867237e-01
4.204204204204204487e+00,8.799776334247133569e-01,2.967292014843792014e-01
4.404404404404404616e+00,1.069483034101031071e+00,2.229856068808458158e-01
4.604604604604604745e+00,1.301461415177527225e+00,1.680981849212489776e-01
4.804804804804804874e+00,1.585265617360990920e+00,1.272111865840248879e-01
5.005005005005005003e+00,1.932327928319950150e+00,9.672475758818846470e-02
5.205205205205205132e+00,2.356619242905062528e+00,7.397016839764944396e-02
5.405405405405406150e+00,2.875210263267750754e+00,5.696912823484315269e-02
5.605605605605606279e+00,3.508957185660709577e+00,4.425549523496282583e-02
5.805805805805806408e+00,4.283339298202169410e+00,3.474327470172922788e-02
6.006006006006006537e+00,5.229481956241058604e+00,2.762901253844091826e-02
6.206206206206206666e+00,6.385405791437666956e+00,2.231983185836708752e-02
6.406406406406406795e+00,7.797551871942306256e+00,1.838068816807100769e-02
6.606606606606606924e+00,9.522643261636687839e+00,1.549628139566031071e-02
6.806806806806807053e+00,1.162995635533835781e+01,1.344457805044330795e-02
7.007007007007007182e+00,1.420409034810510285e+01,1.208036556829793738e-02
7.207207207207207311e+00,1.734834040791703913e+01,1.132911231989263724e-02
7.407407407407407440e+00,2.118879847785691339e+01,1.119463578919744143e-02
7.607607607607608458e+00,2.587931959634375545e+01,1.179089922078822156e-02
7.807807807807808587e+00,3.160748977332060150e+01,1.342582541740497057e-02
8.008008008008008716e+00,3.860166844949036857e+01,1.681431887642784520e-02
8.208208208208208845e+00,4.713890910225659781e+01,2.365333605544093706e-02
8.408408408408408974e+00,5.755252469987132002e+01,3.834394097890951592e-02
8.608608608608609103e+00,7.023384639915528282e+01,7.388813497523373519e-02
8.808808808808809232e+00,8.560314470597269576e+01,1.756670474541755234e-01
9.009009009009009361e+00,1.039163909481554100e+02,5.378078126758339961e-01
9.209209209209209490e+00,1.240518088961573540e+02,2.205637144569538410e+00
9.409409409409409619e+00,1.353691230069924529e+02,1.178733628579329462e+01
9.609609609609609748e+00,9.234895852614128842e+01,5.342933843167698171e+01
9.809809809809809877e+00,2.448920599876660020e+01,8.958196353400168732e+01
1.001001001001001001e+01,5.284677706049669688e+00,7.983171664013067925e+01
1.021021021021021014e+01,1.565857639366761145e+00,6.181788037677818437e+01
1.041041041041041026e+01,6.508920462264536910e-01,4.648601674184400423e+01
1.061061061061061039e+01,3.548121732717438581e-01,3.467559392364749016e+01
1.081081081081081230e+01,2.376506079966527185e-01,2.579190712384070139e+01
1.101101101101101243e+01,1.857263354693923507e-01,1.916121642674386649e+01
1.121121121121121256e+01,1.628272874827962069e-01,1.422754080011032229e+01
1.141141141141141269e+01,1.554873854615383966e-01,1.056190928379238869e+01
1.161161161161161282e+01,1.582076286738008930e-01,7.840464868507392104e+00
1.181181181181181294e+01,1.687406011782463522e-01,5.820832592099094427e+00
1.201201201201201307e+01,1.863775836159383414e-01,4.322354306268241686e+00
1.221221221221221320e+01,2.112668995946664074e-01,3.210657798516595385e+00
1.241241241241241333e+01,2.441324399234163778e-01,2.385917693557290331e+00
1.261261261261261346e+01,2.861666105735066745e-01,1.774027448865638235e+00
1.281281281281281359e+01,3.390097220377069620e-01,1.319998812956459044e+00
1.301301301301301372e+01,4.047796501727725094e-01,9.830422640590578132e-01
1.321321321321321385e+01,4.861369943394436843e-01,7.329071099093631414e-01
1.341341341341341398e+01,5.863806759571820182e-01,5.471618359907984841e-01
1.361361361361361411e+01,7.095739536393098623e-01,4.091746592182599618e-01
1.381381381381381424e+01,8.607038721237619816e-01,3.066147829733875674e-01
1.401401401401401436e+01,1.045879423995983881e+00,2.303404972237857729e-01
1.421421421421421449e+01,1.272575741543514161e+00,1.735745003866745462e-01
1.441441441441441462e+01,1.549933747289853780e+00,1.312923797475543386e-01
1.461461461461461475e+01,1.889127064790552479e+00,9.976924204954555619e-02
1.481481481481481488e+01,2.303810773508715659e+00,7.624364244205462937e-02
1.501501501501501679e+01,2.810669922433469470e+00,5.866853755879208182e-02
1.521521521521521692e+01,3.430089735380183136e+00,4.552677526657403217e-02
1.541541541541541704e+01,4.186974304367141464e+00,3.569447434001490199e-02
1.561561561561561717e+01,5.111746520941267136e+00,2.834000055648545208e-02
1.581581581581581730e+01,6.241569146790897804e+00,2.284943127727165346e-02
1.601601601601601743e+01,7.621835651319994298e+00,1.877188141014892592e-02
1.621621621621621756e+01,9.307989988024512940e+00,1.577992636387237982e-02
1.641641641641641769e+01,1.136774700598260601e+01,1.364190707973751172e-02
1.661661661661661782e+01,1.388380003299110044e+01,1.220435913243331748e-02
1.681681681681681795e+01,1.695711944412602534e+01,1.138462237119589569e-02
1.701701701701701808e+01,2.071096350245282736e+01,1.117656085796382530e-02
1.721721721721721821e+01,2.529573893689222785e+01,1.167873399973017381e-02
1.741741741741741833e+01,3.089484857143484930e+01,1.316975334797933390e-02
1.761761761761761846e+01,3.773161288557306392e+01,1.629944497791161948e-02
1.781781781781781859e+01,4.607712054648141731e+01,2.259995267023650820e-02
1.801801801801801872e+01,5.625797506194785313e+01,3.599592339417817533e-02
1.821821821821821885e+01,6.865933078569729275e+01,6.788965669314421525e-02
1.841841841841841898e+01,8.370231081938294437e+01,1.572567620117832354e-01
1.861861861861861911e+01,1.016866627366065643e+02,4.667097397828570693e-01
1.881881881881881924e+01,1.218121512664367998e+02,1.849163615702587915e+00
1.901901901901901937e+01,1.355839104985274162e+02,9.671395097784166950e+00
1.921921921921921950e+01,1.012102151313581402e+02,4.684184466738836505e+01
1.941941941941941963e+01,2.933844270603460913e+01,8.853767078098785248e+01
1.961961961961961975e+01,6.212349629576793042e+00,8.180608323303181351e+01
1.981981981981981988e+01,1.766506260447832544e+00,6.378985967936824864e+01
2.002002002002002001e+01,7.087043370464566339e-01,4.804984883139934482e+01
2.022022022022022014e+01,3.758859141604415921e-01,3.586139444131787712e+01
2.042042042042042027e+01,2.466265469050296089e-01,2.667953679639953535e+01
2.062062062062062040e+01,1.897961554813110407e-01,1.982249557106876736e+01
2.082082082082082053e+01,1.644996399405426468e-01,1.471915954472817489e+01
2.102102102102102066e+01,1.557526758993824645e-01,1.092701630378215505e+01
2.122122122122122079e+01,1.574789992460390031e-01,8.111465455620507470e+00
2.142142142142142447e+01,1.671774051836556196e-01,6.021921670194893217e+00
2.162162162162162460e+01,1.840094400117057716e-01,4.471544392849973626e+00
2.182182182182182473e+01,2.080446172905591751e-01,3.321337580259852817e+00
2.202202202202202486e+01,2.399487962995276447e-01,2.468029712258246189e+00
2.222222222222222499e+01,2.808631832569087883e-01,1.834950823599109659e+00
2.242242242242242511e+01,3.323762766310180972e-01,1.365208071900417597e+00
2.262262262262262524e+01,3.965488037078245820e-01,1.016597876408823042e+00
2.282282282282282537e+01,4.759752096611220007e-01,7.578202039744882379e-01
2.302302302302302550e+01,5.738758571638488126e-01,5.656651082523368457e-01
2.322322322322322563e+01,6.942194679139325197e-01,4.229234792121565611e-01
2.342342342342342576e+01,8.418785316436420141e-01,3.168364157270570081e-01
2.362362362362362589e+01,1.022822722294409070e+00,2.379447939314217053e-01
2.382382382382382602e+01,1.244357406641747099e+00,1.792359872907441920e-01
2.402402402402402615e+01,1.515416423424098991e+00,1.355111267216452531e-01
2.422422422422422628e+01,1.846920643521444028e+00,1.029159746659071423e-01
2.442442442442442641e+01,2.252216558589557938e+00,7.859319472965822784e-02
2.462462462462462653e+01,2.747612392678390858e+00,6.042462964998947250e-02
2.482482482482482666e+01,3.353033177895140771e+00,4.684036731499786888e-02
2.502502502502502679e+01,4.092820993928881990e+00,3.667735731588297327e-02
2.522522522522522692e+01,4.996712351510417705e+00,2.907482581398286928e-02
2.542542542542542705e+01,6.101031777291543001e+00,2.339710608312158338e-02
2.562562562562562718e+01,7.450149133937845392e+00,1.917696792135595296e-02
2.582582582582582731e+01,9.098258495598221529e+00,1.607450620344819808e-02
2.602602602602602744e+01,1.111154881050916643e+01,1.384820820384180702e-02
2.622622622622622757e+01,1.357085112721014930e+01,1.233627407373074497e-02
2.642642642642642770e+01,1.657486378830366291e+01,1.144797099260826991e-02
2.662662662662662783e+01,2.024407554938520448e+01,1.116758325859708995e-02
2.682682682682682795e+01,2.472552191407530842e+01,1.157913580882464349e-02
2.702702702702702808e+01,3.019851428711910657e+01,1.293427149481462569e-02
2.722722722722722821e+01,3.688143894774201925e+01,1.582382185391531526e-02
2.742742742742742834e+01,4.503952634138918398e+01,2.163273350420825969e-02
2.762762762762762847e+01,5.499272883292271530e+01,3.386665820853517611e-02
2.782782782782782860e+01,6.711981133319534365e+01,6.254670265485877401e-02
2.802802802802802873e+01,8.184115852385441769e+01,1.412360323926939165e-01
2.822822822822822886e+01,9.949071580623991906e+01,4.065703106350255225e-01
2.842842842842842899e+01,1.195254498945470942e+02,1.556431063573977980e+00
2.862862862862862912e+01,1.352052278340949840e+02,7.937131152425080494e+00
2.882882882882882924e+01,1.092856055801024979e+02,4.047597804732707516e+01
2.902902902902902937e+01,3.503150627075709167e+01,8.672063134989265620e+01
2.922922922922922950e+01,7.334630213855794167e+00,8.368199640146740137e+01
2.942942942942942963e+01,2.001853555495197057e+00,6.579945328947012229e+01
2.962962962962962976e+01,7.744275375597847733e-01,4.966041948458985189e+01
2.982982982982982989e+01,3.992995843796820488e-01,3.708585940848940510e+01
3.003003003003003357e+01,2.564657421618218858e-01,2.759691415109182344e+01
3.023023023023023370e+01,1.942515377499904605e-01,2.050618158490026843e+01
