Time,Prey,Predator
0.000000000000000000e+00,9.800000000000000000e+01,8.500000000000000000e+01
2.002002002002002123e-01,1.228534673162369550e+01,1.217290517713985452e+02
4.004004004004004247e-01,1.645444471698372491e+00,9.731453471345953687e+01
6.006006006006006093e-01,3.689235198813246575e-01,7.296452804302144557e+01
8.008008008008008494e-01,1.273087980085378657e-01,5.421619391116131936e+01
1.001001001001001089e+00,6.085883844565292272e-02,4.020535700186837857e+01
1.201201201201201219e+00,3.708479623626608629e-02,2.979701544850931327e+01
1.401401401401401570e+00,2.705812971409917930e-02,2.207795163126537119e+01
1.601601601601601699e+00,2.256300155234769803e-02,1.635685595981438922e+01
1.801801801801801828e+00,2.077184728497273938e-02,1.211773034784463121e+01
2.002002002002002179e+00,2.057771743339905854e-02,8.977111833869097168e+00
2.202202202202202308e+00,2.152337079188064786e-02,6.650504442812644967e+00
2.402402402402402437e+00,2.343686530549899880e-02,4.926992577487468772e+00
2.602602602602602566e+00,2.629267231197625343e-02,3.650268128374243304e+00
2.802802802802803139e+00,3.015503274639770234e-02,2.704515501499839214e+00
3.003003003003003268e+00,3.515513270970776344e-02,2.003932051677288051e+00
3.203203203203203397e+00,4.148394306177113217e-02,1.484955112306173497e+00
3.403403403403403527e+00,4.939347620531293198e-02,1.100499702213193265e+00
3.603603603603603656e+00,5.920345032147868169e-02,8.156880746829411333e-01
3.803803803803804229e+00,7.131220529128177998e-02,6.046854542693211876e-01
4.004004004004004358e+00,8.621160827017101957e-02,4.483556986217331897e-01
4.204204204204204487e+00,1.045061857792458221e-01,3.325245658439908158e-01
4.404404404404404616e+00,1.269370558477435629e-01,2.466931641071011816e-01
4.604604604604604745e+00,1.544115131018272136e-01,1.830849582113317497e-01
4.804804804804804874e+00,1.880393928362296130e-01,1.359398456259269250e-01
5.005005005005005003e+00,2.291776386777566177e-01,1.009912714087019547e-01
5.205205205205205132e+00,2.794848432376411673e-01,7.507893121998335251e-02
5.405405405405406150e+00,3.409879399345595585e-01,5.586189361157315597e-02
5.605605605605606279e+00,4.161637211378558243e-01,4.160613573140760357e-02
5.805805805805806408e+00,5.080384519766090179e-01,3.102715513471960077e-02
6.006006006006006537e+00,6.203095853794020620e-01,2.317340916955629160e-02
6.206206206206206666e+00,7.574944676078836370e-01,1.733997818433685376e-02
6.406406406406406795e+00,9.251120143916844452e-01,1.300461963148461138e-02
6.606606606606606924e+00,1.129904661915261066e+00,9.780407399317653239e-03
6.806806806806807053e+00,1.380109518471844599e+00,7.380653510057470258e-03
7.007007007007007182e+00,1.685789614810178749e+00,5.592926235730126192e-03
7.207207207207207311e+00,2.059238582834860054e+00,4.259810679901549282e-03
7.407407407407407440e+00,2.515475017956771087e+00,3.264657679760909689e-03
7.607607607607608458e+00,3.072846427252506896e+00,2.521034912344121380e-03
7.807807807807808587e+00,3.753767014397771273e+00,1.964916231078373161e-03
