Time,Prey,Predator
0.000000000000000000e+00,4.800000000000000000e+01,4.300000000000000000e+01
2.002002002002002123e-01,2.182329442120362373e+01,5.287683571735402666e+01
4.004004004004004247e-01,9.486416589828778001e+00,4.883821797342004345e+01
6.006006006006006093e-01,4.750499225316764829e+00,4.002619789867342348e+01
8.008008008008008494e-01,2.846693678143028539e+00,3.131986223680908310e+01
1.001001001001001089e+00,2.003468462552529417e+00,2.403618585244208461e+01
1.201201201201201219e+00,1.606206524058226170e+00,1.828338318332199819e+01
1.401401401401401570e+00,1.425330359826592952e+00,1.384961297495130239e+01
1.601601601601601699e+00,1.367096161521546227e+00,1.047300030542464100e+01
1.801801801801801828e+00,1.390958105843671744e+00,7.917835859817508926e+00
2.002002002002002179e+00,1.479750758339829497e+00,5.991211272564618717e+00
2.202202202202202308e+00,1.627964095070051798e+00,4.541469333334255509e+00
2.402402402402402437e+00,1.836822217755272435e+00,3.451757743614547458e+00
2.602602602602602566e+00,2.112175382600796070e+00,2.633047734530300943e+00
2.802802802802803139e+00,2.463676755086557701e+00,2.017970293306211360e+00
3.003003003003003268e+00,2.904617648794711737e+00,1.555773264596735483e+00
3.203203203203203397e+00,3.452153573015741106e+00,1.208343169785039972e+00
3.403403403403403527e+00,4.127807085182042535e+00,9.471296949729666181e-01
3.603603603603603656e+00,4.958204961239625064e+00,7.507978865434742355e-01
3.803803803803804229e+00,5.976043456757911265e+00,6.034525627659863556e-01
4.004004004004004358e+00,7.221295320903022841e+00,4.933078549366296528e-01
4.204204204204204487e+00,8.742683045185197344e+00,4.117032810432336709e-01
4.404404404404404616e+00,1.059944629041562258e+01,3.523948818991862186e-01
4.604604604604604745e+00,1.286342394125066768e+01,3.110767542383831019e-01
4.804804804804804874e+00,1.562144235390072566e+01,2.851201546103969142e-01
5.005005005005005003e+00,1.897792434246240489e+01,2.735661833190551340e-01
5.205205205205205132e+00,2.305744160964114187e+01,2.775033315375287635e-01
5.405405405405406150e+00,2.800645655214041341e+01,3.011796881097532075e-01
5.605605605605606279e+00,3.399225567449988716e+01,3.547644657910852262e-01
5.805805805805806408e+00,4.119363478934423739e+01,4.612690757750089743e-01
6.006006006006006537e+00,4.976761622514568728e+01,6.750503376449452642e-01
6.206206206206206666e+00,5.974325356720194691e+01,1.135678191274724691e+00
6.406406406406406795e+00,7.068009262576423168e+01,2.237945291350913468e+00
6.606606606606606924e+00,8.056360949900931701e+01,5.178899937618117733e+00
6.806806806806807053e+00,8.287722247186509605e+01,1.330041141863467580e+01
7.007007007007007182e+00,6.600577694205962587e+01,3.100243199786435966e+01
7.207207207207207311e+00,3.551370580858846182e+01,4.919047591202826197e+01
7.407407407407407440e+00,1.530389020620687290e+01,5.234157161333904895e+01
7.607607607607608458e+00,6.971325062304300602e+00,4.536624357467074020e+01
7.807807807807808587e+00,3.761506171739914528e+00,3.628524972768385481e+01
8.008008008008008716e+00,2.417724403259652544e+00,2.811052206486995431e+01
8.208208208208208845e+00,1.802653334851464617e+00,2.147644805253684197e+01
8.408408408408408974e+00,1.512164608908317387e+00,1.630163996849028507e+01
8.608608608608609103e+00,1.389394334935460273e+00,1.233687282559352383e+01
8.808808808808809232e+00,1.368358234745538082e+00,9.326801866200810309e+00
9.009009009009009361e+00,1.420373113464478365e+00,7.052955526083041882e+00
9.209209209209209490e+00,1.533996086770816891e+00,5.340142473849462945e+00
9.409409409409409619e+00,1.706891116553038712e+00,4.051988917948465385e+00
9.609609609609609748e+00,1.942360257985558780e+00,3.083983871797621568e+00
9.809809809809809877e+00,2.247882633422684240e+00,2.356756711593765541e+00
1.001001001001001001e+01,2.634612451268173228e+00,1.810370356642668765e+00
1.021021021021021014e+01,3.117397090793475378e+00,1.399735617798838483e+00
1.041041041041041026e+01,3.715126401923404931e+00,1.091028572631818072e+00
1.061061061061061039e+01,4.451335190106116002e+00,8.589370102079696423e-01
1.081081081081081230e+01,5.355034258204898201e+00,6.845669899807175218e-01
1.101101101101101243e+01,6.461773378867770035e+00,5.538654242760689961e-01
1.121121121121121256e+01,7.814955250078080340e+00,4.564435491825870050e-01
1.141141141141141269e+01,9.467427343752776281e+00,3.847141323285317438e-01
1.161161161161161282e+01,1.148337817865340327e+01,3.332818473453529329e-01
1.181181181181181294e+01,1.394055012690590800e+01,2.985542887122129008e-01
1.201201201201201307e+01,1.693273665499258129e+01,2.785778991485288736e-01
1.221221221221221320e+01,2.057241928142284593e+01,2.731658402635370186e-01
1.241241241241241333e+01,2.499312096293866503e+01,2.845169748558779022e-01
1.261261261261261346e+01,3.035034686566715223e+01,3.188455364310338047e-01
1.281281281281281359e+01,3.681810463363697750e+01,3.903998463677699760e-01
1.301301301301301372e+01,4.457263207904460955e+01,5.317652606543251670e-01
1.321321321321321385e+01,5.373839819326266820e+01,8.223638064964607919e-01
1.341341341341341398e+01,6.421637568125360929e+01,1.474456736819066860e+00
1.361361361361361411e+01,7.512646997196664245e+01,3.110479209864378092e+00
1.381381381381381424e+01,8.306732647156286475e+01,7.613575089715314270e+00
1.401401401401401436e+01,7.871188529915448839e+01,1.945296121937321132e+01
1.421421421421421449e+01,5.346024257520888057e+01,3.972990253364945090e+01
1.441441441441441462e+01,2.526573516061945668e+01,5.240181858448726615e+01
1.461461461461461475e+01,1.086282790247216568e+01,5.009157745144707263e+01
1.481481481481481488e+01,5.280398669437655457e+00,4.160091732398210240e+01
1.501501501501501679e+01,3.070152320109119870e+00,3.272450591748005877e+01
1.521521521521521692e+01,2.106420518639175121e+00,2.517254519756523123e+01
1.541541541541541704e+01,1.655019294875837099e+00,1.916866517507028789e+01
1.561561561561561717e+01,1.445955962235467407e+00,1.452749220738584945e+01
1.581581581581581730e+01,1.370518330912624316e+00,1.098749628027855607e+01
1.601601601601601743e+01,1.381968784640087211e+00,8.306428719278084571e+00
1.621621621621621756e+01,1.460260022021611981e+00,6.283897415850695722e+00
1.641641641641641769e+01,1.598350199437805319e+00,4.761577136968821122e+00
1.661661661661661782e+01,1.796509735395338536e+00,3.617156290501346128e+00
1.681681681681681795e+01,2.059879052686524936e+00,2.757303828843527427e+00
1.701701701701701808e+01,2.397484736611811051e+00,2.111327192372084216e+00
1.721721721721721821e+01,2.821987216581017588e+00,1.625935852897362421e+00
1.741741741741741833e+01,3.349850738876659406e+00,1.261090885038945508e+00
1.761761761761761846e+01,4.001803155317240623e+00,9.867873844664870608e-01
1.781781781781781859e+01,4.803534111010356433e+00,7.805936713619368028e-01
1.801801801801801872e+01,5.786620658425139396e+00,6.257874667327418816e-01
1.821821821821821885e+01,6.989691277036462758e+00,5.099568821113297235e-01
