Time,Prey,Predator
0.000000000000000000e+00,8.400000000000000000e+01,4.800000000000000000e+01
2.002002002002002123e-01,2.695308564154609954e+01,7.867573749893990964e+01
4.004004004004004247e-01,6.984179923744724405e+00,7.259068011906573759e+01
6.006006006006006093e-01,2.324311425029241818e+00,5.719926966711472005e+01
8.008008008008008494e-01,1.042645785539548564e+00,4.336720843807604098e+01
1.001001001001001089e+00,5.989076432701866404e-01,3.249889765909244943e+01
1.201201201201201219e+00,4.162003485751862852e-01,2.424816742751885101e+01
1.401401401401401570e+00,3.339120848798138308e-01,1.805805871469791057e+01
1.601601601601601699e+00,2.982929183807648821e-01,1.343679260881216386e+01
1.801801801801801828e+00,2.887087389908021273e-01,9.994927411310877474e+00
2.002002002002002179e+00,2.966082017844927088e-01,7.434659034622235652e+00
2.202202202202202308e+00,3.185445100659966555e-01,5.531472874728473599e+00
2.402402402402402437e+00,3.535689531998265078e-01,4.117241075086337077e+00
2.602602602602602566e+00,4.021758447567848616e-01,3.066506687082438454e+00
2.802802802802803139e+00,4.658663813960850497e-01,2.285844189914480573e+00
3.003003003003003268e+00,5.469896447457134325e-01,1.705768123595185148e+00
3.203203203203203397e+00,6.487251778194821350e-01,1.274640189451583083e+00
3.403403403403403527e+00,7.751509345619931324e-01,9.541060586286157497e-01
3.603603603603603656e+00,9.313738428356506116e-01,7.156887365217005081e-01
3.803803803803804229e+00,1.123715881807826777e+00,5.382504385196755781e-01
4.004004004004004358e+00,1.359956808777721626e+00,4.061040404607181298e-01
4.204204204204204487e+00,1.649639891942435543e+00,3.076091592137737973e-01
4.404404404404404616e+00,2.004451016597827540e+00,2.341291883759577530e-01
4.604604604604604745e+00,2.438685254047995965e+00,1.792569262246964112e-01
4.804804804804804874e+00,2.969818891639196767e+00,1.382398992996073661e-01
5.005005005005005003e+00,3.619209348318936925e+00,1.075541408767458351e-01
5.205205205205205132e+00,4.412950580492457142e+00,8.458834148240557127e-02
5.405405405405406150e+00,5.382917745087079986e+00,6.741015197469224507e-02
5.605605605605606279e+00,6.568042239935524051e+00,5.459380878976013290e-02
