Time,Prey,Predator
0.000000000000000000e+00,4.300000000000000000e+01,5.700000000000000000e+01
2.002002002002002123e-01,1.511820975907630782e+01,6.327646336036297470e+01
4.004004004004004247e-01,5.644455391145523748e+00,5.402220216865894997e+01
6.006006006006006093e-01,2.629456191407490540e+00,4.240331598452031159e+01
8.008008008008008494e-01,1.525199293007379664e+00,3.235811037526229228e+01
1.001001001001001089e+00,1.059021591015382180e+00,2.442241679805184162e+01
1.201201201201201219e+00,8.455569189430486299e-01,1.834388544954142830e+01
1.401401401401401570e+00,7.507922449613537719e-01,1.374775074841676847e+01
1.601601601601601699e+00,7.222175069963682192e-01,1.029407777176774275e+01
1.801801801801801828e+00,7.377330759589334486e-01,7.707404791407074462e+00
2.002002002002002179e+00,7.882193370881683814e-01,5.773603083102162081e+00
2.202202202202202308e+00,8.709192318985883308e-01,4.329325806113376807e+00
2.402402402402402437e+00,9.867275238594603870e-01,3.251169473536160925e+00
2.602602602602602566e+00,1.139053907706269797e+00,2.446418496078973881e+00
2.802802802802803139e+00,1.333393244743041661e+00,1.845647077611229703e+00
3.003003003003003268e+00,1.577255755391481662e+00,1.396981537110389970e+00
3.203203203203203397e+00,1.880311757444423026e+00,1.061719996297238344e+00
3.403403403403403527e+00,2.254690887435650382e+00,8.110184901328477691e-01
3.603603603603603656e+00,2.715415631142776398e+00,6.233978563102144932e-01
3.803803803803804229e+00,3.280969676202256657e+00,4.828752026977104483e-01
4.004004004004004358e+00,3.974014365670003102e+00,3.775674366652351788e-01
4.204204204204204487e+00,4.822275858218990408e+00,2.986502768582018907e-01
4.404404404404404616e+00,5.859633689872501883e+00,2.395846653579682406e-01
4.604604604604604745e+00,7.127449240226241933e+00,1.955448078267136292e-01
4.804804804804804874e+00,8.676180357314112968e+00,1.629996288172378960e-01
5.005005005005005003e+00,1.056733558119480243e+01,1.394138036122912205e-01
5.205205205205205132e+00,1.287582623578845897e+01,1.230475436955102281e-01
5.405405405405406150e+00,1.569277250394274326e+01,1.128488131128455724e-01
5.605605605605606279e+00,1.912879900712547609e+01,1.084532733552017875e-01
5.805805805805806408e+00,2.331778736130332774e+01,1.103493308992674893e-01
6.006006006006006537e+00,2.842085920345314420e+01,1.203642687955002455e-01
6.206206206206206666e+00,3.462981990536199106e+01,1.428877722336847622e-01
6.406406406406406795e+00,4.216770011343081137e+01,1.880116701756576192e-01
6.606606606606606924e+00,5.127898864841657200e+01,2.802363756693039276e-01
6.806806806806807053e+00,6.218450242852567555e+01,4.853250455950602893e-01
7.007007007007007182e+00,7.490690182191198687e+01,1.003898167904124117e+00
7.207207207207207311e+00,8.857870249279196173e+01,2.537460246563171928e+00
7.407407407407407440e+00,9.867278961436190343e+01,7.746719107211323951e+00
7.607607607607608458e+00,8.975918673393101699e+01,2.454352511121284408e+01
7.807807807807808587e+00,5.025350050692582471e+01,5.321002458792289502e+01
8.008008008008008716e+00,1.818987112085827107e+01,6.383507765103420439e+01
8.208208208208208845e+00,6.593120689733328987e+00,5.600067841578292871e+01
8.408408408408408974e+00,2.950340469345641203e+00,4.433535697924715180e+01
8.608608608608609103e+00,1.652005726897194826e+00,3.393754615187435775e+01
8.808808808808809232e+00,1.115402929074015947e+00,2.564770250402540697e+01
9.009009009009009361e+00,8.716478327260053227e-01,1.927559362860299785e+01
9.209209209209209490e+00,7.614804466354193613e-01,1.444984257079751977e+01
9.409409409409409619e+00,7.236030149311242221e-01,1.082072099603772308e+01
9.609609609609609748e+00,7.324134139464355542e-01,8.101458792336018178e+00
9.809809809809809877e+00,7.771982314018159865e-01,6.068039958885364626e+00
1.001001001001001001e+01,8.543632454488535588e-01,4.549167563352525256e+00
1.021021021021021014e+01,9.642832179173975726e-01,3.415265084571666332e+00
1.041041041041041026e+01,1.109978600720718633e+00,2.568905225990218533e+00
1.061061061061061039e+01,1.296597295736587663e+00,1.937099392254978847e+00
1.081081081081081230e+01,1.531296715441665457e+00,1.465294691610719457e+00
1.101101101101101243e+01,1.823357381518416309e+00,1.112781435758767090e+00
1.121121121121121256e+01,2.184457745190711009e+00,8.492143349697811594e-01
1.141141141141141269e+01,2.629084966643228327e+00,6.519932334489970671e-01
1.161161161161161282e+01,3.175079373694939644e+00,5.042989161274556986e-01
1.181181181181181294e+01,3.844324011484963943e+00,3.936244821529608640e-01
1.201201201201201307e+01,4.663600405628836043e+00,3.106800682359518451e-01
1.221221221221221320e+01,5.665639878763514936e+00,2.485784148074071109e-01
1.241241241241241333e+01,6.890407577813220996e+00,2.022320277159041224e-01
1.261261261261261346e+01,8.386664145173106988e+00,1.679109736722027291e-01
1.281281281281281359e+01,1.021385732999161533e+01,1.429251479229997901e-01
1.301301301301301372e+01,1.244440129130184047e+01,1.254079391472059379e-01
1.321321321321321385e+01,1.516640093476193130e+01,1.141921804176640326e-01
1.341341341341341398e+01,1.848686258079934319e+01,1.087890261742919112e-01
1.361361361361361411e+01,2.253537587589874747e+01,1.095173544871428511e-01
1.381381381381381424e+01,2.746808955365587224e+01,1.179155374510688636e-01
1.401401401401401436e+01,3.347134923647523408e+01,1.377861662004300214e-01
1.421421421421421449e+01,4.076304898204953275e+01,1.778531083170286908e-01
1.441441441441441462e+01,4.958563979589658999e+01,2.590136165807137569e-01
1.461461461461461475e+01,6.017062848148987086e+01,4.362675746933890597e-01
1.481481481481481488e+01,7.260030773048845276e+01,8.735188814070511398e-01
1.501501501501501679e+01,8.626406057076317779e+01,2.131126905936991278e+00
1.521521521521521692e+01,9.766037792908481663e+01,6.327197672316466459e+00
1.541541541541541704e+01,9.368877527422792184e+01,2.038020083098136936e+01
1.561561561561561717e+01,5.789468514070257754e+01,4.872092320146585820e+01
1.581581581581581730e+01,2.190742354823627380e+01,6.383654094446667671e+01
1.601601601601601743e+01,7.752925928962410396e+00,5.789395829837270213e+01
1.621621621621621756e+01,3.332794700836994473e+00,4.631333953427219541e+01
1.641641641641641769e+01,1.799332296948714438e+00,3.558144548245527261e+01
1.661661661661661782e+01,1.179879070206737213e+00,2.693023042926935062e+01
1.681681681681681795e+01,9.015081758957094182e-01,2.025314041096822493e+01
1.701701701701701808e+01,7.742413476975873454e-01,1.518731508839907640e+01
1.721721721721721821e+01,7.263437117662628895e-01,1.137423577011776032e+01
1.741741741741741833e+01,7.281472620652040817e-01,8.515757052645541947e+00
1.761761761761761846e+01,7.671308031934717109e-01,6.377660279708267765e+00
1.781781781781781859e+01,8.387751182525763349e-01,4.780367170736898430e+00
1.801801801801801872e+01,9.428978187636430919e-01,3.587843215041884637e+00
1.821821821821821885e+01,1.082115595546191411e+00,2.697720884613944659e+00
1.841841841841841898e+01,1.261226264655650908e+00,2.033271234728175170e+00
1.861861861861861911e+01,1.487037970339501802e+00,1.537126487769165051e+00
1.881881881881881924e+01,1.768449673822389157e+00,1.166466430111080088e+00
1.901901901901901937e+01,2.116700856779194062e+00,8.893671346410358947e-01
1.921921921921921950e+01,2.545759521161413463e+00,6.820494912220315120e-01
1.941941941941941963e+01,3.072843094353602478e+00,5.268146311990927755e-01
