Time,Prey,Predator
0.000000000000000000e+00,3.100000000000000000e+01,4.200000000000000000e+01
2.002002002002002123e-01,1.580188234886917265e+01,4.368379212587401383e+01
4.004004004004004247e-01,8.422878724778101400e+00,3.852322585990818737e+01
6.006006006006006093e-01,5.103537554618777783e+00,3.147762130184980123e+01
8.008008008008008494e-01,3.553398552935267407e+00,2.484262429070099643e+01
1.001001001001001089e+00,2.796394853806726921e+00,1.928384113152169377e+01
1.201201201201201219e+00,2.431842360644408174e+00,1.484801093750619927e+01
1.401401401401401570e+00,2.288007562496000791e+00,1.139056597747804389e+01
1.601601601601601699e+00,2.287961791095046049e+00,8.729318723908091826e+00
1.801801801801801828e+00,2.397385589992158117e+00,6.695508909924156704e+00
2.002002002002002179e+00,2.603186013352934758e+00,5.147755219649862823e+00
2.202202202202202308e+00,2.904264597530887837e+00,3.972857977500459548e+00
2.402402402402402437e+00,3.307424936886895317e+00,3.082328138370132198e+00
2.602602602602602566e+00,3.825637357900688151e+00,2.407965268746130594e+00
2.802802802802803139e+00,4.477492050616922903e+00,1.897688423997834883e+00
3.003003003003003268e+00,5.287326445994515289e+00,1.511995590720493388e+00
3.203203203203203397e+00,6.285793650360187002e+00,1.221106489387107086e+00
3.403403403403403527e+00,7.510765224901155612e+00,1.002728314705241708e+00
3.603603603603603656e+00,9.008517235558393565e+00,8.403548634761511815e-01
3.803803803803804229e+00,1.083516483957543386e+01,7.220176630836128151e-01
4.004004004004004358e+00,1.305829242148746516e+01,6.394358043781664946e-01
4.204204204204204487e+00,1.575865922738186953e+01,5.875586829157883884e-01
4.404404404404404616e+00,1.903169768610090884e+01,5.645801583738201401e-01
4.604604604604604745e+00,2.298814191473640989e+01,5.726737542127711134e-01
4.804804804804804874e+00,2.775223362647623304e+01,6.200856289798095666e-01
5.005005005005005003e+00,3.345374554742916473e+01,7.261889380790572668e-01
5.205205205205205132e+00,4.020431660742895019e+01,9.336826219120158976e-01
5.405405405405406150e+00,4.803277841162616824e+01,1.339403137472750194e+00
5.605605605605606279e+00,5.670937753872299680e+01,2.176157233376652567e+00
5.805805805805806408e+00,6.526991354002421986e+01,4.032236779701221963e+00
6.006006006006006537e+00,7.086480565185202352e+01,8.354503312232829160e+00
6.206206206206206666e+00,6.737401404800621663e+01,1.775166473275926293e+01
6.406406406406406795e+00,5.007831317944633298e+01,3.224095105969365704e+01
6.606606606606606924e+00,2.840508223720615533e+01,4.283076818797888308e+01
6.806806806806807053e+00,1.443839445961884849e+01,4.325394353793554103e+01
7.007007007007007182e+00,7.809160183634306307e+00,3.760834187873332013e+01
7.207207207207207311e+00,4.822614047307373752e+00,3.053501214642026440e+01
7.407407407407407440e+00,3.417816514503349445e+00,2.402689580411616532e+01
7.607607607607608458e+00,2.729728986346147135e+00,1.862343797100650633e+01
7.807807807807808587e+00,2.401959766134033725e+00,1.432949508686765761e+01
8.008008008008008716e+00,2.280687525502604007e+00,1.098984673590885031e+01
8.208208208208208845e+00,2.296768296595864900e+00,8.422359398456581658e+00
8.408408408408408974e+00,2.419602898557155157e+00,6.461583917709207370e+00
8.608608608608609103e+00,2.638093078935719760e+00,4.970036133285421265e+00
8.808808808808809232e+00,2.952372407916329600e+00,3.838087078579702105e+00
9.009009009009009361e+00,3.370141701721865779e+00,2.980238451897687657e+00
9.209209209209209490e+00,3.905141348295802839e+00,2.330690912729189712e+00
9.409409409409409619e+00,4.576716579607590596e+00,1.839248054525826293e+00
9.609609609609609748e+00,5.410013917840307940e+00,1.467868630009778741e+00
9.809809809809809877e+00,6.436599119973326566e+00,1.187897910966046577e+00
1.001001001001001001e+01,7.695400374817507050e+00,9.779105439155905133e-01
1.021021021021021014e+01,9.233929893450854465e+00,8.220748506008934697e-01
1.041041041041041026e+01,1.110974869109380592e+01,7.089599360696665631e-01
1.061061061061061039e+01,1.339211620553414761e+01,6.307373647638734315e-01
1.081081081081081230e+01,1.616368989996199446e+01,5.827802597323636924e-01
1.101101101101101243e+01,1.952195747900702827e+01,5.637545615022387935e-01
1.121121121121121256e+01,2.357965918799227012e+01,5.764871560079937174e-01
1.141141141141141269e+01,2.846245524816273686e+01,6.303310231168093303e-01
1.161161161161161282e+01,3.429959057477041284e+01,7.468472273065855926e-01
1.181181181181181294e+01,4.119674255287011277e+01,9.735818870355688048e-01
1.201201201201201307e+01,4.916205781374257811e+01,1.419116348513329573e+00
1.221221221221221320e+01,5.790493765849526397e+01,2.346632382058857935e+00
1.241241241241241333e+01,6.629403653015441478e+01,4.423287654727043439e+00
1.261261261261261346e+01,7.109438302624327832e+01,9.261722353709201272e+00
1.281281281281281359e+01,6.582661959447490574e+01,1.950621610873064782e+01
1.301301301301301372e+01,4.704169519358467255e+01,3.415756973842874800e+01
1.321321321321321385e+01,2.597631309448733461e+01,4.345666893531332420e+01
1.341341341341341398e+01,1.320979491827182351e+01,4.271633007501807811e+01
1.361361361361361411e+01,7.258248954181661716e+00,3.667201618075214498e+01
1.381381381381381424e+01,4.568670302252504811e+00,2.960461822916188623e+01
1.401401401401401436e+01,3.294550113325426910e+00,2.323186383170189018e+01
1.421421421421421449e+01,2.669325751347284115e+00,1.798333146781877190e+01
1.441441441441441462e+01,2.375706328574764825e+00,1.382829363699122460e+01
1.461461461461461475e+01,2.275804595345212178e+00,1.060308735615629772e+01
1.481481481481481488e+01,2.307483045536190769e+00,8.126349238085232685e+00
1.501501501501501679e+01,2.443538731954431054e+00,6.236118659110435836e+00
1.521521521521521692e+01,2.674726347312434971e+00,4.798796512952071325e+00
1.541541541541541704e+01,3.002348337637100073e+00,3.708253320395368036e+00
1.561561561561561717e+01,3.434976494934261382e+00,2.881899854159223118e+00
