Time,Prey,Predator
0.000000000000000000e+00,5.700000000000000000e+01,6.200000000000000000e+01
2.002002002002002123e-01,1.639705142374785041e+01,7.576843768485714747e+01
4.004004004004004247e-01,4.836557583461524423e+00,6.451794862562067578e+01
6.006006006006006093e-01,1.881089016164021466e+00,5.002507252831039608e+01
8.008008008008008494e-01,9.585027646439103766e-01,3.780184223231898955e+01
1.001001001001001089e+00,6.066867568571098213e-01,2.831599732957474558e+01
1.201201201201201219e+00,4.533264199922996118e-01,2.113509572066065090e+01
1.401401401401401570e+00,3.838291839440833297e-01,1.575013875432104982e+01
1.601601601601601699e+00,3.568431050700970331e-01,1.172906466868659514e+01
1.801801801801801828e+00,3.557201867984456922e-01,8.732856906020801446e+00
2.002002002002002179e+00,3.735057588283680619e-01,6.502882681231796802e+00
2.202202202202202308e+00,4.076330016382047616e-01,4.844237152050610007e+00
2.402402402402402437e+00,4.578492874291404391e-01,3.610934097882337657e+00
2.602602602602602566e+00,5.253583693253783826e-01,2.693993808831681047e+00
2.802802802802803139e+00,6.124749514027654218e-01,2.012223619860648682e+00
3.003003003003003268e+00,7.225226216361226861e-01,1.505208488900556807e+00
3.203203203203203397e+00,8.598654492540931393e-01,1.128030943144673559e+00
3.403403403403403527e+00,1.030027619721715748e+00,8.473144850399227934e-01
3.603603603603603656e+00,1.239883797516168062e+00,6.382681053073365751e-01
3.803803803803804229e+00,1.497916810002979382e+00,4.824830868553747210e-01
4.004004004004004358e+00,1.814547213735956177e+00,3.662928672819646403e-01
4.204204204204204487e+00,2.202544781168485510e+00,2.795532771306624142e-01
4.404404404404404616e+00,2.677536553685293086e+00,2.147361164442465886e-01
4.604604604604604745e+00,3.258630656088861599e+00,1.662560597489244063e-01
4.804804804804804874e+00,3.969180022384198647e+00,1.299712337197940215e-01
5.005005005005005003e+00,4.837715864374614760e+00,1.028131018577099626e-01
5.205205205205205132e+00,5.899087375768856667e+00,8.251277713110424794e-02
5.405405405405406150e+00,7.195852011164596718e+00,6.739956409106571955e-02
5.605605605605606279e+00,8.779969857800537625e+00,5.625419107297971455e-02
5.805805805805806408e+00,1.071486611426546531e+01,4.820458293707476083e-02
6.006006006006006537e+00,1.307793709606582055e+01,4.265685513858317318e-02
6.206206206206206666e+00,1.596358601095727536e+01,3.925962356479693882e-02
6.406406406406406795e+00,1.948688113608671557e+01,3.790799197952441496e-02
6.606606606606606924e+00,2.378791981802004329e+01,3.880991746868136388e-02
6.806806806806807053e+00,2.903692630342561287e+01,4.267668468022900452e-02
