Time,Prey,Predator
0.000000000000000000e+00,8.500000000000000000e+01,1.100000000000000000e+01
2.002002002002002123e-01,7.209338448388962206e+01,2.729927653932732312e+01
4.004004004004004247e-01,4.114278028535021292e+01,4.767372407540850787e+01
6.006006006006006093e-01,1.767752836718682374e+01,5.381262693619716231e+01
8.008008008008008494e-01,7.733119530857380575e+00,4.765373327888163146e+01
1.001001001001001089e+00,3.990770245773530345e+00,3.837097893144420624e+01
1.201201201201201219e+00,2.470239230419697840e+00,2.978255246960576130e+01
1.401401401401401570e+00,1.788328799299294003e+00,2.275875633497924611e+01
1.601601601601601699e+00,1.466961447022328446e+00,1.726683042149838343e+01
1.801801801801801828e+00,1.325465990273934080e+00,1.305651000627139169e+01
2.002002002002002179e+00,1.289239259241108604e+00,9.860244853101630014e+00
2.202202202202202308e+00,1.325973898984002419e+00,7.446650918073564718e+00
2.402402402402402437e+00,1.422359696680286500e+00,5.629532819624633255e+00
2.602602602602602566e+00,1.574812607704225043e+00,4.263783778777986200e+00
2.802802802802803139e+00,1.785559240150329963e+00,3.238170831003895245e+00
3.003003003003003268e+00,2.060973844236822394e+00,2.468226446294261578e+00
3.203203203203203397e+00,2.410964993503021070e+00,1.890179496978592999e+00
3.403403403403403527e+00,2.848915118343151143e+00,1.456068823154069936e+00
3.603603603603603656e+00,3.391960039254187542e+00,1.129923004617057414e+00
3.803803803803804229e+00,4.061519468604632976e+00,8.848232785315924831e-01
4.004004004004004358e+00,4.884048074745390267e+00,7.006695411715828659e-01
4.204204204204204487e+00,5.892007318619603140e+00,5.624950685459385591e-01
4.404404404404404616e+00,7.125075504131085147e+00,4.592056672173585041e-01
4.604604604604604745e+00,8.631623738830537462e+00,3.826478350413348162e-01
4.804804804804804874e+00,1.047048941527581789e+01,3.269367498916493919e-01
5.005005005005005003e+00,1.271307347624126294e+01,2.880003831561678829e-01
5.205205205205205132e+00,1.544576381422559663e+01,2.633253376501343279e-01
5.405405405405406150e+00,1.877262062683201549e+01,2.519343458302569227e-01
5.605605605605606279e+00,2.281809293702425023e+01,2.547098798195603919e-01
5.805805805805806408e+00,2.772911614645909140e+01,2.753724054346033401e-01
6.006006006006006537e+00,3.367484560142582239e+01,3.229207101759267173e-01
6.206206206206206666e+00,4.083924913351984998e+01,4.177492332900843985e-01
6.406406406406406795e+00,4.939270014295618694e+01,6.080012404050179065e-01
6.606606606606606924e+00,5.939921810496016263e+01,1.017266893047458653e+00
6.806806806806807053e+00,7.051369597492484331e+01,1.996360826536630828e+00
7.007007007007007182e+00,8.097809466848330828e+01,4.624877050546796653e+00
7.207207207207207311e+00,8.475354491675079771e+01,1.206741035655023886e+01
7.407407407407407440e+00,6.962295169611505230e+01,2.935515138817612169e+01
7.607607607607608458e+00,3.824601537564309695e+01,4.903210156800814445e+01
7.807807807807808587e+00,1.626679546365704354e+01,5.357978173070383576e+01
8.008008008008008716e+00,7.204172637943541346e+00,4.680874832517576323e+01
8.208208208208208845e+00,3.784174376018734520e+00,3.749858926421502758e+01
8.408408408408408974e+00,2.380652777799826314e+00,2.904479531741993625e+01
8.608608608608609103e+00,1.746408461951935331e+00,2.217416301646663612e+01
8.808808808808809232e+00,1.447439798900063801e+00,1.681586316140548121e+01
9.009009009009009361e+00,1.318212334056940715e+00,1.271305083576652173e+01
9.209209209209209490e+00,1.289903180058507681e+00,9.600423605381159575e+00
9.409409409409409619e+00,1.332682464856715265e+00,7.250840403757394803e+00
9.609609609609609748e+00,1.434441113993528027e+00,5.482278843527815582e+00
9.809809809809809877e+00,1.592266152894776576e+00,4.153173780686173266e+00
1.001001001001001001e+01,1.808827710686472079e+00,3.155128999077195129e+00
1.021021021021021014e+01,2.090851236006342706e+00,2.405886454337137437e+00
1.041041041041041026e+01,2.448571716213872040e+00,1.843369961189721185e+00
1.061061061061061039e+01,2.895711978242078377e+00,1.420907034835497740e+00
1.081081081081081230e+01,3.449788654663894949e+00,1.103500736160986540e+00
1.101101101101101243e+01,4.132664350364818162e+00,8.649668284582558986e-01
1.121121121121121256e+01,4.971319348782986758e+00,6.857581394072305159e-01
1.141141141141141269e+01,5.998845112442568350e+00,5.513244749908422504e-01
1.161161161161161282e+01,7.255678319614373706e+00,4.508867182227052073e-01
1.181181181181181294e+01,8.791103745815302517e+00,3.765322723761225232e-01
1.201201201201201307e+01,1.066505756888730616e+01,3.225650805852986469e-01
1.221221221221221320e+01,1.295025619599403122e+01,2.850689180928795419e-01
1.241241241241241333e+01,1.573464880133397337e+01,2.616732179233010047e-01
1.261261261261261346e+01,1.912411980805897116e+01,2.515564534038404187e-01
1.281281281281281359e+01,2.324518422696394282e+01,2.558142643086305790e-01
1.301301301301301372e+01,2.824696246495702923e+01,2.785297277589691145e-01
1.321321321321321385e+01,3.430051713751294784e+01,3.294319874059364883e-01
1.341341341341341398e+01,4.159027982582104244e+01,4.305911761582962849e-01
1.361361361361361411e+01,5.028217720131811319e+01,6.344517646251197629e-01
1.381381381381381424e+01,6.041993957457009401e+01,1.076892511891277104e+00
1.401401401401401436e+01,7.158578165258107617e+01,2.147249040628589345e+00
1.421421421421421449e+01,8.177824618390042133e+01,5.048337075457457246e+00
1.441441441441441462e+01,8.432857066713613392e+01,1.323211565616443153e+01
1.461461461461461475e+01,6.697182998254014308e+01,3.145067811916291234e+01
1.481481481481481488e+01,3.546687667709881708e+01,5.022527973559396486e+01
1.501501501501501679e+01,1.497671728177586914e+01,5.324526753807878521e+01
1.521521521521521692e+01,6.722313670581008260e+00,4.594559435912029954e+01
1.541541541541541704e+01,3.594198221202801413e+00,3.663564712409826285e+01
1.561561561561561717e+01,2.297503632393950390e+00,2.832180342553511565e+01
1.581581581581581730e+01,1.707345333784601626e+00,2.160332152345194245e+01
1.601601601601601743e+01,1.429387982565877069e+00,1.637622239855339146e+01
1.621621621621621756e+01,1.311844117321407710e+00,1.237849653152450102e+01
1.641641641641641769e+01,1.291197273484884001e+00,9.347454413837136045e+00
1.661661661661661782e+01,1.339917731949361368e+00,7.060243389846664108e+00
1.681681681681681795e+01,1.447025566588638679e+00,5.338966378883112540e+00
1.701701701701701808e+01,1.610248100303743657e+00,4.045532293554027881e+00
1.721721721721721821e+01,1.832685934318242893e+00,3.074317713348581282e+00
1.741741741741741833e+01,2.121411109611357038e+00,2.345220294247294390e+00
1.761761761761761846e+01,2.486984967176825378e+00,1.797815790743048536e+00
1.781781781781781859e+01,2.943473558126425971e+00,1.386686882810782784e+00
1.801801801801801872e+01,3.508779359592480773e+00,1.077785397340097484e+00
1.821821821821821885e+01,4.205214863456008700e+00,8.456421246399365987e-01
1.841841841841841898e+01,5.060294924972979835e+00,6.712480882124273185e-01
1.861861861861861911e+01,6.107752168439393614e+00,5.404586332152958583e-01
1.881881881881881924e+01,7.388795227491528728e+00,4.428016021877795305e-01
1.901901901901901937e+01,8.953638848814025053e+00,3.705994798354131370e-01
1.921921921921921950e+01,1.086333728632465068e+01,3.183410098172266278e-01
1.941941941941941963e+01,1.319194462357719821e+01,2.822637235970576475e-01
1.961961961961961975e+01,1.602899607047138986e+01,2.601397326205610039e-01
1.981981981981981988e+01,1.948222488609962610e+01,2.513064532052580180e-01
2.002002002002002001e+01,2.368023143010711706e+01,2.570817479310413267e-01
2.022022022022022014e+01,2.877431872567222726e+01,2.819336951226495969e-01
2.042042042042042027e+01,3.493738864582454795e+01,3.363779163969775610e-01
2.062062062062062040e+01,4.235407865239636749e+01,4.443086361882725988e-01
2.082082082082082053e+01,5.118503094879205406e+01,6.629016761329206142e-01
2.102102102102102066e+01,6.145096585254128030e+01,1.141686358559161896e+00
2.122122122122122079e+01,7.265232323270339521e+01,2.313076745203913820e+00
2.142142142142142447e+01,8.251633785080831274e+01,5.516646731722622654e+00
2.162162162162162460e+01,8.371188345254596186e+01,1.449852343299897584e+01
2.182182182182182473e+01,6.416380427851329671e+01,3.356475492037034769e+01
2.202202202202202486e+01,3.282028405384950531e+01,5.124863119696127001e+01
2.222222222222222499e+01,1.379890907256969079e+01,5.281977052886325197e+01
2.242242242242242511e+01,6.283067684357368954e+00,4.506871057606387154e+01
2.262262262262262524e+01,3.419330935563777540e+00,3.578321881877771204e+01
2.282282282282282537e+01,2.220277937074775387e+00,2.761362256669785253e+01
2.302302302302302550e+01,1.670947711083080378e+00,2.104602162739769966e+01
2.322322322322322563e+01,1.412727550996679238e+00,1.594766489383302677e+01
2.342342342342342576e+01,1.306327347084468071e+00,1.205263205858564213e+01
2.362362362362362589e+01,1.293107129851199133e+00,9.101162673384607160e+00
2.382382382382382602e+01,1.347675035552225342e+00,6.874723224803780397e+00
2.402402402402402615e+01,1.460114004939532917e+00,5.199490445397987770e+00
2.422422422422422628e+01,1.628763234381293890e+00,3.940779506824394041e+00
2.442442442442442641e+01,1.857141823538839720e+00,2.995676693558504411e+00
2.462462462462462653e+01,2.152664347537393219e+00,2.286182631352192463e+00
2.482482482482482666e+01,2.526218780747741643e+00,1.753482981630291926e+00
2.502502502502502679e+01,2.992217465743026494e+00,1.353382912142178762e+00
2.522522522522522692e+01,3.568953935334561844e+00,1.052757981799099074e+00
2.542542542542542705e+01,4.279197734537911302e+00,8.268349818832205766e-01
2.562562562562562718e+01,5.151007492272013266e+00,6.571288420821315146e-01
2.582582582582582731e+01,6.218768361479429352e+00,5.298897443482056824e-01
2.602602602602602744e+01,7.524474773060673805e+00,4.349446347400979795e-01
2.622622622622622757e+01,9.119288034192306824e+00,3.648454203181366040e-01
2.642642642642642770e+01,1.106540003385830673e+01,3.142619173043286196e-01
2.662662662662662783e+01,1.343822508993303089e+01,2.795834056655054356e-01
2.682682682682682795e+01,1.632890920767488652e+01,2.587249174336190838e-01
2.702702702702702808e+01,1.984705938223720523e+01,2.511862599845873234e-01
2.722722722722722821e+01,2.412337916407483362e+01,2.585175445965056662e-01
2.742742742742742834e+01,2.931134811065229329e+01,2.855962964797554848e-01
2.762762762762762847e+01,3.558562917307868645e+01,3.437857704354351784e-01
2.782782782782782860e+01,4.313077606073568404e+01,4.589680835940412873e-01
2.802802802802802873e+01,5.210121078700188946e+01,6.935285162567678130e-01
2.822822822822822886e+01,6.249159435490152958e+01,1.212172924694634890e+00
2.842842842842842899e+01,7.371039362864893008e+01,2.495501560469560953e+00
2.862862862862862912e+01,8.318309346971558682e+01,6.034477846562935177e+00
2.882882882882882924e+01,8.289138379856022709e+01,1.586993746405157601e+01
2.902902902902902937e+01,6.122658581274088618e+01,3.567434328600726445e+01
2.922922922922922950e+01,3.031691955968821262e+01,5.210097980983483268e+01
2.942942942942942963e+01,1.272497578384380112e+01,5.231356870589365826e+01
2.962962962962962976e+01,5.882371338979706543e+00,4.418204983062823032e+01
2.982982982982982989e+01,3.258210379859842742e+00,3.494221206243062738e+01
3.003003003003003357e+01,2.148508081716101081e+00,2.692025661457156005e+01
3.023023023023023370e+01,1.637038980888767314e+00,2.050204505139041444e+01
3.043043043043043383e+01,1.397385371996487269e+00,1.552994874144354753e+01
3.063063063063063396e+01,1.301629996490830221e+00,1.173524587401741037e+01
3.083083083083083409e+01,1.295619024068153768e+00,8.861377311152702774e+00
3.103103103103103422e+01,1.355949905808597089e+00,6.694146209122426860e+00
3.123123123123123435e+01,1.473707347503735887e+00,5.063748387230337933e+00
3.143143143143143448e+01,1.647816221565432837e+00,3.838837363353456489e+00
3.163163163163163460e+01,1.882203145270382461e+00,2.919146943733360366e+00
3.183183183183183473e+01,2.184621680112736719e+00,2.228729059098682797e+00
3.203203203203203486e+01,2.566287053718835587e+00,1.710338197157822870e+00
3.223223223223223499e+01,3.041961171469306002e+00,1.320970155345820407e+00
3.243243243243243512e+01,3.630334022570262942e+00,1.028399817078882617e+00
3.263263263263263525e+01,4.354639571525148689e+00,8.085314742327196491e-01
3.283283283283283538e+01,5.243489617607702158e+00,6.433900473051938906e-01
3.303303303303303551e+01,6.331933434279973127e+00,5.196101591276358622e-01
3.323323323323323564e+01,7.662765347816423045e+00,4.273102273030426335e-01
3.343343343343343577e+01,9.288110097511180996e+00,3.592661486559966533e-01
3.363363363363363590e+01,1.127131708696240864e+01,3.103251981028667950e-01
3.383383383383383602e+01,1.368918366134937870e+01,2.770266494646950739e-01
3.403403403403403615e+01,1.663449154088156590e+01,2.574289032668252708e-01
3.423423423423423628e+01,2.021874593761286576e+01,2.511980954907177543e-01
3.443443443443443641e+01,2.457477048422225963e+01,2.601273869453257781e-01
3.463463463463463654e+01,2.985821096203627434e+01,2.895304929616215328e-01
3.483483483483483667e+01,3.624540151313583181e+01,3.516852114095003756e-01
3.503503503503503680e+01,4.392048773214022361e+01,4.746421756747282172e-01
3.523523523523523693e+01,5.303062572890350879e+01,7.265281336031713666e-01
3.543543543543543706e+01,6.354099858421518121e+01,1.288936087373180994e+00
3.563563563563563719e+01,7.475667650696151156e+01,2.696370665504445707e+00
3.583583583583583732e+01,8.376838817318117947e+01,6.606852972309778416e+00
3.603603603603603744e+01,8.185662584376044038e+01,1.734817848720396327e+01
3.623623623623623757e+01,5.819095980378752131e+01,3.775519467871662727e+01
3.643643643643643770e+01,2.796351662425470153e+01,5.278423155123748245e+01
3.663663663663663783e+01,1.174670132267358902e+01,5.173641334397094482e+01
3.683683683683683796e+01,5.516549158148019494e+00,4.328912334812934404e+01
3.703703703703703809e+01,3.109612473948176525e+00,3.411339768643485115e+01
3.723723723723723822e+01,2.081770860839254667e+00,2.624167750766530816e+01
3.743743743743743835e+01,1.605457734020447225e+00,1.997117180250772250e+01
3.763763763763763848e+01,1.383294072008275366e+00,1.512283796108634348e+01
3.783783783783783861e+01,1.297722391215256232e+00,1.142613347915576405e+01
3.803803803803803874e+01,1.298720266556737446e+00,8.627933507410292080e+00
3.823823823823823886e+01,1.364738268814517319e+00,6.518383784874710152e+00
3.843843843843843899e+01,1.487806624463745120e+00,4.931641561648040017e+00
3.863863863863863912e+01,1.667411632911289132e+00,3.739630920041440820e+00
3.883883883883883925e+01,1.907877419550383591e+00,2.844671853029895559e+00
3.903903903903903938e+01,2.217293497652674361e+00,2.172816960514490692e+00
3.923923923923923951e+01,2.607203198583806003e+00,1.668349457498608412e+00
3.943943943943943964e+01,3.092721516756227640e+00,1.289424656381856549e+00
3.963963963963963977e+01,3.692940493018107784e+00,1.004692996747553524e+00
3.983983983983983990e+01,4.431566057409683346e+00,7.907182620325493572e-01
4.004004004004004003e+01,5.337772740763153223e+00,6.300217956696589905e-01
4.024024024024024015e+01,6.447285775969310073e+00,5.096126051397392720e-01
4.044044044044044028e+01,7.803713693255401651e+00,4.198931320878983020e-01
4.064064064064064041e+01,9.460161797708629194e+00,3.538580008117342968e-01
4.084084084084084054e+01,1.148115713608421018e+01,3.065285459696300840e-01
4.104104104104104067e+01,1.394490312893306871e+01,2.745924286829732330e-01
4.124124124124124080e+01,1.694584225441015590e+01,2.562521071342223622e-01
4.144144144144144093e+01,2.059740205398419732e+01,2.513444685290718295e-01
4.164164164164164106e+01,2.503454147746671410e+01,2.619176053515419600e-01
4.184184184184184119e+01,3.041505810650136965e+01,2.937503123909829261e-01
4.204204204204204132e+01,3.691685400524022498e+01,3.601084170682864460e-01
4.224224224224224145e+01,4.472330365545918340e+01,4.914102987303275993e-01
4.244244244244244157e+01,5.397312849272075397e+01,7.621166281704366829e-01
4.264264264264264170e+01,6.459820076475041617e+01,1.372625486528494587e+00
4.284284284284284894e+01,7.578741055034238627e+01,2.917738770740340826e+00
4.304304304304304907e+01,8.426124039031047630e+01,7.239116890834886853e+00
4.324324324324324920e+01,8.059943619897566691e+01,1.893318441406650976e+01
4.344344344344344933e+01,5.508973062102214158e+01,3.978269704908018412e+01
4.364364364364364945e+01,2.576327371574510039e+01,5.330293294979852448e+01
4.384384384384384958e+01,1.085617976140592589e+01,5.109745404462127283e+01
4.404404404404404971e+01,5.182284447776477343e+00,4.239304398903003346e+01
4.424424424424424984e+01,2.972436566841423211e+00,3.329742930200889361e+01
4.444444444444444997e+01,2.019683190249241367e+00,2.557783203790852156e+01
4.464464464464465010e+01,1.576057252164396738e+00,1.945318226867886224e+01
4.484484484484485023e+01,1.370392472269295725e+00,1.472610344534559879e+01
4.504504504504505036e+01,1.294578010812226010e+00,1.112509792841921907e+01
4.524524524524525049e+01,1.302400069479145328e+00,8.400673144148305127e+00
4.544544544544545062e+01,1.374037500319103433e+00,6.347312833920055297e+00
4.564564564564565075e+01,1.502414117542521632e+00,4.803075655961438706e+00
4.584584584584585087e+01,1.687555294478334300e+00,3.643088587893587249e+00
4.604604604604605100e+01,1.934173500458636674e+00,2.772197409531492962e+00
4.624624624624625113e+01,2.250691641036968171e+00,2.118405749374227653e+00
4.644644644644645126e+01,2.648982326314658131e+00,1.627486344162047294e+00
